fpid,doi,list_of_std,selection_criteria,ma_specified_objective,search_databases,search_string,nb_std_per_step,quantitative_results_described,statistical_methods_described,individual_effect_sizes,individual_std_weighted,dataset_available,confidence_intervals,method_of_data_extraction,heterogeneity_of_results_analyzed,funding_sources_mentioned,publication_bias_analyzed,quality_score_perc,impact_matrix
cover and catch crops,10.1111/1365-2664.13124,1,"1) less than three spatially independent replicates per treatment level, (2) vineyards under plastic or in greenhouses, and (3) treatments not directly manipulating soil or vegetation management in the vineyards (e.g. application of synthetic or external mulches or the use of different fungicide or insecticide treatments) were excluded. in addition, only studies, which reported means and any dispersion measure of the dependent variable (e.g. sd or sem), were used. we contacted the authors of recently published papers with missing data of variance or additional information like irrigation regime of the treatments.",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.9375,biodiversity
cover and catch crops,10.1002/eap.2278,1,"(1) field-based experiments that contained a cover crop treatment or (2) outside the scope of the review. publications included in the first category were from peer-reviewed journals that contained original data from field experiments. these publications included a cover crop (or catch crop or green manure) treatment. studies in the first category also met the following criteria:
1. the cover crop was not harvested and was grown during fallow periods between cash crops, or, in the case of orchard and vineyard systems, in the rows between trees/vines.
2. the control treatment was (a) a treatment with no cover crop (fallow) or (b) a management system with no cover crop.
3. all other management practices between the treatment and control were similar, e.g., tillage, cash crop rotation, soil amendments. however, there were a few cases where tillage was done in the control and not the experimental treatments to maintain bare ground. we included these studies in our analyses.
4. the experiment occurred in a country within temperate latitude zones, i.e., latitudes from 23.5° to 66.5° north and south of the equator.
5. the response variable or variables measured was soil organic c or soil organic matter.
6. means and sample size were reported for each treatment.
7. the publication included enough management details and data to be recorded. the authors excluded studies that did not meet the criteria above. other studies in the second category included publication types such as book chapters and fact sheets. we also omitted publications where the cover crop was grown and sampled in a lab or greenhouse including incubation, mesocosm, or pot experiments.",1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.875,carbon sequestration
cover and catch crops,10.1007/s10113-018-1447-y,1,"we selected empirical case studies which measured ecosystem services-related properties both for conservation (treatment) and conventional (control) management options. this step excluded pure simulation modeling studies and reviews. we focused on papers reporting results from the mediterranean basin but included six well-designed papers (see the caption of supplementary fig. sf1) reporting from mediterranean climate regions outside the basin (i.e., south and south west australia, the cape of south africa, central chile, and california.",1,1,1,1,0,0,1,0,1,0,1,0,1,0,0.625,carbon sequestration
cover and catch crops,10.1016/j.agee.2021.107356,1,"published research on organic farming systems (population): the authors included articles in english that reported soil health metrics (soc, mbc) in organic farming systems with and without best management practices (bmps). articles could be published in any year and any location. we only included organic farming systems that had been organically managed for at least 3 years in alignment with usda organic farming criteria (usda, 2019b).
organic farming systems with bmps (treatment): articles had to investigate at least one bmps (e.g., organic amendments, conservation tillage, cover crops, rotation length and complexity). if an article contained multiple levels of a single bmps or investigated multiple bmps, we extracted data for each treatment separately.
organic farming systems without bmps, i.e. organically-managed control groups (control): organically-managed control groups refers to organic systems with the same management except the bmps under investigation (e.g., no organic amendments, conventional tillage, no cover crops, shortened crop rotation).
measured soil health metrics (outcome): articles had to include quantitative measurements for at least one of the following soil health metrics:
1. soil organic carbon (soc) concentrations (g kg−1 soil; %c), 2. soc stocks (kg ha−1),  3. soil organic matter (g kg−1), 4. microbial biomass c (μg g−1)",1,1,1,0,1,1,1,1,0,1,1,0,1,1,0.8125,carbon sequestration
cover and catch crops,10.1016/j.agsy.2019.102736,1,"1) laboratory or greenhouse studies were excluded, and only studies performed in field conditions and carried out in a mediterranean climate were chosen; 2) when several papers included data from the same experiment, the longest study with the most soil and crop variables was chosen.",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0.8125,carbon sequestration
cover and catch crops,10.1016/j.jclepro.2020.125736,1,"selected studies fulfilled the following criteria: 1) they included experiments measuring soc or som levels within existing vineyards or through experimental manipulation of vineyard management practices; 2) they were performed under field conditions (laboratory studies and pot experiments were excluded) for a minimum period of three years; and 3) they were published in or after 2000. when several studies contained data from the same field experiment, only the longest study was selected to avoid redundancy in the data.",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.9375,carbon sequestration
cover and catch crops,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,carbon sequestration
cover and catch crops,10.1016/j.soilbio.2020.107735,1,"(1) experiments were conducted in the field or at a research station; (2) the publications reported comparisons between controls (e.g., nc control plots; baseline soc) and treatments (i.e., with ccs); (3) the publications were either peer-reviewed journal articles, conference collections, theses, or dissertations; and (4) the publications were written in english or chinese.",1,1,0,0,1,1,0,1,1,1,1,1,1,0,0.75,carbon sequestration
cover and catch crops,10.1016/j.still.2017.03.005,1,"an experiment had to meet the following criteria: 1) it had to be performed by an official institution under field conditions, 2) management practices had to be similar to those applied under production scenarios, 3) a control treatment under bare fallow had to be compared against at least one cover crop treatment, 4) the cover crop species had to be identified, 5) treatments could differ only in fallow-cover crop management and all other factors (grain crop, varieties, fertilization, etc.) had to be similar, 6) the experimental design had to be clearly described (in three cases we contacted the authors of the experiments for some additional missing information), 7) average and number of replications of the control and the cover crop treatments had to be reported for at least one of the following variables: soil bulk density, soil penetration resistance, structural stability, infiltration, organic carbon content, nitrate-n level, available water content, or yield of soybean or corn, 8) experiment duration and time of measurement had to be indicated, 9) sampling depth of soil properties had to be specified. report of treatment variances was not considered as a requisite in this selection because these were not included in many sources and this would have made the meta-analysis impossible. in around 12% of cases (across all variables and experiments) standard deviation or standard errors were available for the control and cover crop treatments, in which case they were extracted. usually, variability of the reported means was included in one or two studies for each addressed variable.",1,1,1,0,1,1,0,1,1,1,1,1,1,0,0.8125,carbon sequestration
cover and catch crops,10.1016/j.still.2019.04.020,1,"only studies that reported both n2o and co2 emissions, cover crops grown between harvesting and planting of cash crops, and cash crops with similar management practices, such as irrigation, fertilization, and tillage practices were selected for the study. studies that lack mean values, replications, and standard error or standard deviation ofthe mean were discarded.",1,1,1,0,1,1,0,1,0,1,1,0,1,0,0.6875,carbon sequestration
