"sustainability_outcome","impact_matrix","impact_positive_effect","metric_std2","metric","metric_positive_effect","metric_unit","doi","fpid"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Top soil organic carbon stock","increase","kg /ha","10.1111/1365-2664.13113","Organic farming systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Top soil organic carbon stocks","increase","kg /ha","10.1111/1365-2664.13113","Organic farming systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Top soil organic carbon sequestration rates","increase","C kg /ha /year","10.1111/1365-2664.13113","Organic farming systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Arthropod abundance","increase",NA,"10.1111/geb.13196","Grassland management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Plant biomass","increase",NA,"10.1111/geb.13196","Grassland management"
"Biodiversity","Pests and diseases","Decrease","weed","Density of Spartina species","decrease",NA,"10.1002/aqc.889","Wetland conservation and restoration"
"Agricultural production","Grassland production","Increase","Net primary productivity","Grassland yield","increase",NA,"10.1038/s41598-020-74736-z","Leguminous crops"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Annual rate of increase of soil organic carbon","increase",NA,"10.1016/j.agee.2016.01.005","Leguminous crops"
"Agricultural production","Crop yield","Increase","Crop yield stability","Yield stability (Coefficient of variation - %CV)","increase",NA,"10.1016/j.eja.2017.09.009","Intercropping"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Maize grain yield","increase",NA,"10.1007/s11104-008-9547-y","Green manure"
"Soil health","Soil nutrients","Increase","Soil nutrients","Stock of Nitrogen, Phosphorous and Sulfur in soil","increase","kg /m2","10.1111/gcb.13513","Organic farming systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Stock of organic carbon in soil","increase","kg /ha","10.1111/gcb.13513","Organic farming systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (aboveground biomass)","Aboveground biomass carbon sequestration rate","increase","C t /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (aboveground + belowground biomass)","belowground + aboveground biomass carbon sequestration rate","increase","C t /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (belowground biomass)","Belowground biomass carbon sequestration rate","increase","C t /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","SOC sequestration rate","increase","C t /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil + aboveground + belowground biomass)","soil + belowground + aboveground biomass carbon sequestration rate","increase","C t /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Soil carbon sequestration rate","increase","C t /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
