practice,practice_id,mean,se+mean,se
T1 – maize (90 cm row to row and 20 cm plant-to-plant spacing or 90 × 20 cm),C1,3070.250828,3203.296778,133.0459497
T2 – maize (90 × 20 cm) with plastic mulch (alternate row),C2,3306.42953,3449.669464,143.2399337
T3 – maize (90 × 20 cm) cowpea (two rows of cowpea at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows) plastic mulch (alternate row),T1,3266.412721,3440.433425,174.0207043
T4 – maize (90 × 20 cm) soybean (two rows of soybean at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows plastic mulch (alternate row) followed by wheat,T2,3195.795885,3379.902127,184.1062416
T1 – maize (90 cm row to row and 20 cm plant-to-plant spacing or 90 × 20 cm),C1,3095.771937,3269.792641,174.0207043
T2 – maize (90 × 20 cm) with plastic mulch (alternate row),C2,3270.551767,3424.130281,153.5785131
T3 – maize (90 × 20 cm) cowpea (two rows of cowpea at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows) plastic mulch (alternate row),T1,3159.05055,3312.502542,153.451992
T4 – maize (90 × 20 cm) soybean (two rows of soybean at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows plastic mulch (alternate row) followed by wheat,T2,3200.856728,3313.406264,112.5495353
T1 – maize (90 cm row to row and 20 cm plant-to-plant spacing or 90 × 20 cm),C1,3182.782289,3387.384945,204.602656
T2 – maize (90 × 20 cm) with plastic mulch (alternate row),C2,3234.836675,3357.598268,122.7615936
T3 – maize (90 × 20 cm) cowpea (two rows of cowpea at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows) plastic mulch (alternate row),T1,3000.320821,3113.033027,112.7122052
T4 – maize (90 × 20 cm) soybean (two rows of soybean at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows plastic mulch (alternate row) followed by wheat,T2,2970.84141,3083.282499,112.4410886
