B.Code,B.Author.Last,B.Date,B.Journal,B.New,B.DOI,B.Url,B.Project,B.Link1,B.Link2,B.Link3,B.Link4,era_snapshots_all,era_snapshot_harmonized,B.Version
AC0002,Farsia Djidjonri,2021,AgriEngineering,,10.3390/agriengineering3020025,,ERA 2023,,,,,ie,ie,V2.0.7
AC0003,Worou,2019,Regional Environmental Change,,10.1007/s10113-019-01511-w,,ERA 2023,,,,,ie,ie,V2.0.7
AC0007,Ndakidemi,2007,Australian Journal of Experimental Agriculture,,10.1071/EA05274,,ERA 2023,,,,,ie,ie,V2.0.8
AC0009,Saidou,2018,Nutrient Cycling in Agroecosystems,,10.1007/s10705-017-9902-6,,ERA 2023,,,,,ie,ie,V2.0.8
AC0010,Chabi-Olaye,2005,Bulletin of Entomological Research,,10.1079/BER2005373,,ERA 2023,,,,,ie,ie,V2.0.9
AC0012,Ramkat,2008,Annals of Applied Biology,,10.1111/j.1744-7348.2008.00268.x,,ERA 2023,,,,,ie,ie,V2.0.9
AC0013,Garba,2018,Nutrient Cycling in Agroecosystems,,10.1007/s10705-018-9921-y,,ERA 2023,,,,,ie,ie,V2.0.9
AC0015,Kidane,2019,Agronomy Journal,,10.2134/agronj2018.05.0331,,ERA 2023,,,,,ie,ie,V2.0.10
AC0017,Nyirenda,2021,Heliyon,,10.1016/j.heliyon.2021.e06636,,ERA 2023,,,,,ie,ie,V2.0.10
AC0018,Mng'omba,2020,Agroforestry Systems,,10.1007/s10457-019-00405-4,,ERA 2023,10. 1007/s10457-016-9924-0,,,,ie,ie,V2.0.12
AC0019,Etafa,2022,"Trees, Forests and People",,10.1016/j.tfp.2022.100245,,ERA 2023,,,,,ie,ie,V2.0.12
AC0021,Rivers,2016,Applied Soil Ecology,,10.1016/j.apsoil.2015.12.004,,ERA 2023,,,,,ie,ie,V2.0.12
AC0022,Makino,2019,Revista de Agricultura Neotropical,,,https://periodicosonline.uems.br/index.php/agrineo/article/view/3624,ERA 2023,,,,,ie,ie,V2.0.12
AC0023,Perdoná,2016,Agronomy Journal,,10.2134/agronj2016.01.0024,,ERA 2023,,,,,ie,ie,V2.0.12
AC0024,Fuentes,2009,European Journal of Agronomy,,10.1016/j.eja.2008.10.005,,ERA 2023,,,,,ie,ie,V2.0.12
AC0025,Fonteyne,2019,Agronomy,,10.3390/agronomy9120845,,ERA 2023,,,,,ie,ie,V2.0.12
AC0026,de Oliveira,2016,Revista Árvore,,10.1590/0100-67622016000400011,,ERA 2023,,,,,ie,ie,V2.0.12
AC0027,Lopez-Vazquez,2019,Agronomy,,10.3390/agronomy9040189,,ERA 2023,,,,,ie,ie,V2.0.12
