column,value,n
CT_tillage_practice,C: Conventional Tillage..Reduced Tillage_vs_T: Conventional Tillage..Reduced Tillage,218
CT_tillage_practice,C: Conventional Tillage_vs_T: Conventional Tillage,5085
CT_tillage_practice,C: Conventional Tillage_vs_T: No or Zero Tillage,18938
CT_tillage_practice,C: Conventional Tillage_vs_T: Reduced Tillage,3563
CT_tillage_practice,C: No or Zero Tillage..Conventional Tillage_vs_T: No or Zero Tillage..Conventional Tillage,30
CT_tillage_practice,C: No or Zero Tillage_vs_T: Conventional Tillage,2621
CT_tillage_practice,C: No or Zero Tillage_vs_T: No or Zero Tillage,1035
CT_tillage_practice,C: No or Zero Tillage_vs_T: No or Zero Tillage..Reduced Tillage,1
CT_tillage_practice,C: No or Zero Tillage_vs_T: No or Zero Tillage..Reduced Tillage..Conventional Tillage,2
CT_tillage_practice,C: No or Zero Tillage_vs_T: Reduced Tillage,131
CT_tillage_practice,C: Reduced Tillage..Conventional Tillage_vs_T: Reduced Tillage..Conventional Tillage,49
CT_tillage_practice,C: Reduced Tillage_vs_T: Conventional Tillage,108
CT_tillage_practice,C: Reduced Tillage_vs_T: Reduced Tillage,478
CT_planting_practice,C: Planting_vs_T: Planting,466
CT_varietal_crop_practice,C: Improved variety..Unimproved Variety_vs_T: Improved variety..Unimproved Variety,72
CT_varietal_crop_practice,C: Improved variety_vs_T: Improved variety,11908
CT_varietal_crop_practice,C: Improved variety_vs_T: Unimproved Variety,116
CT_varietal_crop_practice,C: Unimproved Variety_vs_T: Improved variety,648
CT_varietal_crop_practice,C: Unimproved Variety_vs_T: Unimproved Variety,5542
CT_intercrop_practice,C: Alleycropping_vs_T: Alleycropping,137
CT_intercrop_practice,C: Alleycropping_vs_T: Monoculture,63
CT_intercrop_practice,C: Intercropping (N fixing mixed)..Other Agroforestry_vs_T: Intercropping (N fixing mixed),21
CT_intercrop_practice,C: Intercropping (N fixing mixed)..Other Agroforestry_vs_T: Intercropping (N fixing mixed)..Other Agroforestry,14
CT_intercrop_practice,C: Intercropping (N fixing mixed)..Other Agroforestry_vs_T: Monoculture,21
CT_intercrop_practice,C: Intercropping (N fixing mixed)..Other Agroforestry_vs_T: Other Agroforestry,28
CT_intercrop_practice,C: Intercropping (N fixing mixed)_vs_T: Intercropping (N fixing mixed),1239
CT_intercrop_practice,C: Intercropping (N fixing mixed)_vs_T: Intercropping (N fixing mixed)..Other Agroforestry,14
CT_intercrop_practice,C: Intercropping (N fixing mixed)_vs_T: Intercropping (Non N fixing),46
CT_intercrop_practice,C: Intercropping (N fixing mixed)_vs_T: Monoculture,552
CT_intercrop_practice,C: Intercropping (N fixing mixed)_vs_T: Other Agroforestry,28
CT_intercrop_practice,C: Intercropping (Non N fixing)..Intercropping (N fixing mixed)_vs_T: Intercropping (Non N fixing)..Intercropping (N fixing mixed),10
CT_intercrop_practice,C: Intercropping (Non N fixing)_vs_T: Intercropping (N fixing mixed),29
CT_intercrop_practice,C: Intercropping (Non N fixing)_vs_T: Intercropping (Non N fixing),574
CT_intercrop_practice,C: Intercropping (Non N fixing)_vs_T: Monoculture,239
CT_intercrop_practice,C: Monoculture_vs_T: Alleycropping,836
CT_intercrop_practice,C: Monoculture_vs_T: Green Manure (N fixing),92
CT_intercrop_practice,C: Monoculture_vs_T: Green Manure (Non N fixing),71
CT_intercrop_practice,C: Monoculture_vs_T: Intercropping (N fixing mixed),2932
CT_intercrop_practice,C: Monoculture_vs_T: Intercropping (N fixing mixed)..Green Manure (N fixing),60
CT_intercrop_practice,C: Monoculture_vs_T: Intercropping (N fixing mixed)..Intercropping (N fixing),6
CT_intercrop_practice,C: Monoculture_vs_T: Intercropping (N fixing mixed)..Other Agroforestry,21
CT_intercrop_practice,C: Monoculture_vs_T: Intercropping (N fixing),167
CT_intercrop_practice,C: Monoculture_vs_T: Intercropping (Non N fixing),750
CT_intercrop_practice,C: Monoculture_vs_T: Intercropping (Non N fixing)..Alleycropping,45
CT_intercrop_practice,C: Monoculture_vs_T: Multistrata Agroforestry,535
CT_intercrop_practice,C: Monoculture_vs_T: Other Agroforestry,153
CT_intercrop_practice,C: Multistrata Agroforestry_vs_T: Monoculture,76
CT_intercrop_practice,C: Multistrata Agroforestry_vs_T: Multistrata Agroforestry,188
CT_intercrop_practice,C: Other Agroforestry_vs_T: Intercropping (N fixing mixed),21
CT_intercrop_practice,C: Other Agroforestry_vs_T: Intercropping (N fixing mixed)..Other Agroforestry,14
CT_intercrop_practice,C: Other Agroforestry_vs_T: Monoculture,51
