T_crop_tree_diversity,CT_crop_FAO_Food_Group_clean,diversification_spatial_temporal_theme,biomass_management_practice,nutrient_management_practice,soil_management_theme,water_management_practice,impact,n,neg,pos,combo_clean
Acacia decurrens-Teff/Acacia decurrens-Unspecified Fodder Grass/Acacia decurrens/Acacia decurrens/Acacia decurrens,Cereals,C: Monoculture_vs_T: Agroforestry; C: Monoculture_vs_T: Improved Fallow,NA,NA,NA,NA,Costs,5,1,0,Acacia decurrens + Acacia decurrens + Acacia decurrens + Acacia decurrens + Acacia decurrens + Teff + Unspecified Fodder Grass
Acacia decurrens-Teff/Acacia decurrens-Unspecified Fodder Grass/Acacia decurrens/Acacia decurrens/Acacia decurrens,Cereals,C: Monoculture_vs_T: Agroforestry; C: Monoculture_vs_T: Improved Fallow,NA,NA,NA,NA,Income,25,0.2,0.8,Acacia decurrens + Acacia decurrens + Acacia decurrens + Acacia decurrens + Acacia decurrens + Teff + Unspecified Fodder Grass
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar,NA,NA,Product Yield,3,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar + Inorganic Fertilizer,NA,NA,Product Yield,20,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar + Inorganic Fertilizer + Organic Fertilizer,NA,NA,Product Yield,24,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar + Organic Fertilizer,NA,NA,Product Yield,6,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,4,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,4,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,30,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,4,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Soil Quality,1,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,3,0,1,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Soil Quality,3,0.6666666666666666,0.3333333333333333,Barley
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,2,0,1,Barley
Barley-Fava Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,5,1,0,Barley + Fava Bean
Barley-Fava Bean,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,5,1,0,Barley + Fava Bean
Barley-Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar,NA,NA,Soil Quality,54,0,1,Barley + Wheat
Barley/Indian Pea/Teff/Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Costs,3,0.6666666666666666,0.3333333333333333,Barley + Indian Pea + Teff + Wheat
Barley/Indian Pea/Teff/Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Income,6,0.3333333333333333,0.6666666666666666,Barley + Indian Pea + Teff + Wheat
Barley/Indian Pea/Teff/Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,6,0.3333333333333333,0.6666666666666666,Barley + Indian Pea + Teff + Wheat
Barley/Indian Pea/Teff/Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,6,0,1,Barley + Indian Pea + Teff + Wheat
Barley/Indian Pea/Teff/Wheat,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Costs,15,0.8,0.2,Barley + Indian Pea + Teff + Wheat
Barley/Indian Pea/Teff/Wheat,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Income,30,0.06666666666666667,0.9333333333333333,Barley + Indian Pea + Teff + Wheat
Barley/Indian Pea/Teff/Wheat,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,30,0.06666666666666667,0.9333333333333333,Barley + Indian Pea + Teff + Wheat
Barley/Indian Pea/Teff/Wheat,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,30,0,1,Barley + Indian Pea + Teff + Wheat
Barley/Peas/Teff/Wheat,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Product Yield,4,0,1,Barley + Peas + Teff + Wheat
Barley/Peas/Teff/Wheat,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Soil Quality,2,0,1,Barley + Peas + Teff + Wheat
Barley/Peas/Teff/Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,12,0.3333333333333333,0.6666666666666666,Barley + Peas + Teff + Wheat
Barley/Peas/Teff/Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Efficiency,4,0,1,Barley + Peas + Teff + Wheat
Barley/Peas/Teff/Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Product Yield,8,0,1,Barley + Peas + Teff + Wheat
Barley/Peas/Teff/Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,16,0,1,Barley + Peas + Teff + Wheat
Barley/Peas/Teff/Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Efficiency,2,0,1,Barley + Peas + Teff + Wheat
Barley/Peas/Teff/Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Product Yield,4,0,1,Barley + Peas + Teff + Wheat
Barley/Wheat,Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Costs,12,0.5,0.5,Barley + Wheat
Barley/Wheat,Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Income,24,0.5,0.5,Barley + Wheat
Barley/Wheat,Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Non-Product Yield,12,0,1,Barley + Wheat
Barley/Wheat,Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Product Yield,24,0,1,Barley + Wheat
Common Bean-Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,15,0.2,0.8,Common Bean + Maize
Common Bean/Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,4,0,1,Common Bean + Maize
Common Bean/Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,4,0,1,Common Bean + Maize
Common Bean/Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,2,0,1,Common Bean + Maize
Common Bean/Maize,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,C: Crop residues retained_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Conventional Tillage,NA,Product Yield,6,1,0,Common Bean + Maize
Cowpea-Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,3,0,1,Cowpea + Maize
Durum Wheat/Hairy Vetch/Lentil/Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,NA,NA,Costs,3,0,1,Durum Wheat + Hairy Vetch + Lentil + Teff
Durum Wheat/Hairy Vetch/Lentil/Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,NA,NA,Income,3,0.6666666666666666,0.3333333333333333,Durum Wheat + Hairy Vetch + Lentil + Teff
Durum Wheat/Hairy Vetch/Lentil/Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,NA,NA,Product Yield,12,0.6666666666666666,0.3333333333333333,Durum Wheat + Hairy Vetch + Lentil + Teff
Durum Wheat/Lentil/Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Conventional Tillage,NA,Costs,3,0.3333333333333333,0.6666666666666666,Durum Wheat + Lentil + Teff
